Sector ID,Sector Name,Group ID,Industry Group,Column Axis,Color Triad,Industry Name,Sub-Industry 1,Sub-Industry 2,Sub-Industry 3,Sub-Industry 4
1,Primary (Create Phase),1,Math,Past,Red,Capital Markets,Algorithmic Trading Systems & Quantitative Analysis,Investment Banking & Underwriting Math,Asset Management & Portfolio Risk Modeling,Venture Capital Valuation & Financial Forecasting
1,Primary (Create Phase),1,Math,Past,Red,Thrifts & Mortgage Finance,Actuarial Loan Amortization Calculations,Primary Residential Mortgage Underwriting,Secondary Mortgage Market Securitization,Commercial Property Lending Matrices
1,Primary (Create Phase),1,Math,Past,Red,Equity Real Estate Investment Trusts (REITs),Commercial Property Yield Optimization & Math,Industrial & Logistics Portfolio Valuation,Residential REIT Asset Matrix Management,Healthcare & Specialized REIT Data Analytics
1,Primary (Create Phase),1,Math,Past,Red,Financial Exchanges & Data,Real-Time Market Data Feed Architecture,Clearinghouse Liquidity Optimization,Derivative & Options Pricing Matrices,High-Frequency Transaction Ledger Auditing
1,Primary (Create Phase),2,Language,Present-Past,Blue,Software,Enterprise Operating System Architecture,Compiler & Programming Language Code Bases,Database Management System Syntax,Cloud Application Interface Frameworks
1,Primary (Create Phase),2,Language,Present-Past,Blue,Interactive Media & Services,Algorithmic Search Engine Syntax,Social Media Content Distribution Networks,Digital Advertising Real-Time Bidding Code,Web Portal & Interactive Interface Networks
1,Primary (Create Phase),2,Language,Present-Past,Blue,IT Services,Systems Integration & Translation Services,Enterprise Data Center Infrastructure,Cybersecurity Protocol & Protocol Auditing,IT Architecture Strategic Consulting
1,Primary (Create Phase),2,Language,Present-Past,Blue,Artificial Intelligence & Language Models,Large Language Model (LLM) Training & Tokens,Natural Language Processing (NLP) Interfaces,Neural Network Semantic Translation,Machine Learning Syntax Architecture
1,Primary (Create Phase),3,Arts,Present-Future,Yellow,"Textiles, Apparel & Luxury Goods",Haute Couture & High-Fashion Aesthetic Design,Athletic Wear Textile Engineering,Luxury Timepiece & Jewelry Styling,Footwear Conceptual Design & Ergonomics
1,Primary (Create Phase),3,Arts,Present-Future,Yellow,Personal Care Products,Cosmetic Color & Pigment Formulation,Skincare Dermaceutical Aesthetic Development,Fragrance & Olfactory Art Composition,Hair Aesthetic & Barbering Product Design
1,Primary (Create Phase),3,Arts,Present-Future,Yellow,Leisure Products,Acoustic & Electronic Musical Instrument Craft,Professional Sports Equipment Performance Styling,Educational Toy & Creative Play Design,Digital Gaming Physical Interface Hardware
1,Primary (Create Phase),3,Arts,Present-Future,Yellow,Advertising & Design Services,Visual Brand Identity & Logo Architecture,Commercial Photography & Creative Direction,User Interface (UI) Aesthetic Layout Design,Experiential Event Production & Set Design
1,Primary (Create Phase),4,Science,Future,Green,Life Sciences Tools & Services,DNA Sequencing Systems & Genomics Analytics,Automated High-Throughput Laboratory Tools,Pre-Clinical Trial Management Software,Bio-Molecular Separation & Purification Tools
1,Primary (Create Phase),4,Science,Future,Green,Pharmaceuticals,Small-Molecule Target Discovery Research,Clinical Phase Testing & Drug Formulation,Therapeutic Chemical Synthesis Manufacturing,Regulatory Bio-Safety Documentation Services
1,Primary (Create Phase),4,Science,Future,Green,Biotechnology,Monoclonal Antibody & Cellular Therapy,CRISPR & Bio-Genetic Sequence Splicing,mRNA Vaccine Systemic R&D,Agricultural Genetic Modification Science
1,Primary (Create Phase),4,Science,Future,Green,Healthcare Equipment & Supplies,Advanced Diagnostic Imaging Systems (MRI/CT),Minimally Invasive Robotic Surgery Tools,Implantable Biological Devices (Pacemakers),Medical Biomaterials & Sterile Consumables
2,Secondary (Post Phase),5,General Information,Past,Purple,Diversified Financial Services,Multi-Sector Consumer Credit Data Repositories,Micro-Economic Data Syndication & Scraping,Multi-Asset Retail Brokerage Account Management,Consumer Debt Ledger Collection Systems
2,Secondary (Post Phase),5,General Information,Past,Purple,Trading Companies & Distributors,Industrial B2B Wholesale Inventory Directories,Commodity Trading Settlement Databases,Specialized Production Tooling Brokerage Registries,Multi-Vendor Merchant Equipment Distribution Nodes
2,Secondary (Post Phase),5,General Information,Past,Purple,Commercial Services & Supplies,Institutional Facilities Management Information Systems,"Document Destruction, Archiving, & Secure Vaulting",Corporate Security Monitoring & Real-Time Alert Systems,Commercial Uniform & Operational Apparel Logistics
2,Secondary (Post Phase),5,General Information,Past,Purple,Data Processing & Outsourced Services,High-Volume Transaction Clearing & Ledger Processing,Automated Medical Billing & Claims Processing,Customer Relationship Management (CRM) Data Entry Systems,Corporate Payroll & Employee Benefits Ledger Auditing
2,Secondary (Post Phase),6,Literature,Present-Past,Teal,Publishing,"Academic, Scientific, & Medical Journal Distribution",Trade Fiction & Non-Fiction Literary Printing,Educational Textbook & Digital Curriculum Licensing,Legal & Regulatory Code Book Registries
2,Secondary (Post Phase),6,Literature,Present-Past,Teal,Media,Television Broadcast Network Scheduling & Master Control,Local & National Radio Syndication Infrastructure,Cable Television Subscriber Distribution Nodes,Digital Audio Podcast Hosting & RSS Distribution
2,Secondary (Post Phase),6,Literature,Present-Past,Teal,Entertainment,Film Studio Intellectual Property (IP) Vaulting & Production,Interactive Gaming Storyline & Level Publishing,Subscription Video-On-Demand (SVOD) Streaming Media Services,Live Theatrical Performance IP Licensing & Distribution
2,Secondary (Post Phase),6,Literature,Present-Past,Teal,Internet & Direct Marketing Retail,Digital Product E-Commerce Platform Architecture,Interactive Marketplace Auction Ledger Software,Digital Subscription Mail-Order Registry Logistics,Automated Multi-Channel Digital Storefront Layouts
2,Secondary (Post Phase),7,Crafts,Present-Future,Orange,Household Durables,Major Kitchen Appliance Manufacturing & Assembly,"Home Audio, Video, & Domestic Leisure Electronics",Residential Furniture Carpentry & Upholstery Craft,Residential Hand-Tool & Garden Implement Tooling
2,Secondary (Post Phase),7,Crafts,Present-Future,Orange,Paper & Forest Products,Raw Commercial Timberlands Silviculture & Management,Pulp Mill Cellulose & Structural Cardboard Production,Fine Print-Grade Publishing Paper Manufacturing,Sanitary & Toweling Tissue Paper Processing
2,Secondary (Post Phase),7,Crafts,Present-Future,Orange,Containers & Packaging,Food-Grade Glass Jar & Beverage Bottle Blowing,Corrugated Shipping Box & Cardboard Structural Packing,Aluminum Beverage Can & Tin Sheet Pressing,Specialized Industrial Polymer Shells & Protective Linings
2,Secondary (Post Phase),7,Crafts,Present-Future,Orange,Household Products,Mass Surface Disinfectant & Chemical Detergent Synthesis,Personal Hygiene Soap & Botanical Bar Pressing,Domestic Insecticides & Environmental Control Sprays,Refined Vegetable Wax Candles & Ambient Air Fresheners
2,Secondary (Post Phase),8,Technology,Future,Lime,"Technology Hardware, Storage & Peripherals",Personal Computer (PC) Motherboard & Chassis Assembly,Solid-State Drive (SSD) & Magnetic Disk Storage Arrays,Enterprise Data Center Server Architecture Layouts,Optical Scanning & Point-of-Sale Hardware Peripherals
2,Secondary (Post Phase),8,Technology,Future,Lime,"Electronic Equipment, Instruments & Components",Precision Optical Laser & Photonic Device Fabrication,Printed Circuit Board (PCB) Multilayer Component Stacking,Automated Test Equipment (ATE) Instrument Calibration,Industrial Sensor & Power Transducer Component Assemblies
2,Secondary (Post Phase),8,Technology,Future,Lime,Communications Equipment,Enterprise Network Router & Core Switch Manufacturing,Cellular Base Station Radio & Antenna Hardware,Fiber-Optic Signal Multiplexer Hardware Engineering,Satellite Communication Ground Transceiver Assemblies
2,Secondary (Post Phase),8,Technology,Future,Lime,Telecommunication Services,Mobile Wireless Cellular Network Carrier Operations,Fixed-Line Broadband Fiber-Optic Internet Trunking,Enterprise Wide-Area Network (WAN) Data Backhaul Routing,International Undersea Telecommunication Cable Networks
3,Tertiary (Work Phase),9,History,Past,Red-Purple,Metals & Mining,Iron & Steel Production,Copper & Base Metal Mining,Aluminum Extraction & Refining,Precious Metal Refining
3,Tertiary (Work Phase),9,History,Past,Red-Purple,Gold & Precious Metals,Gold Ore Mining & Extraction,Silver Mining & Co-Product Operations,Platinum Group Metals Processing,Bullion Minting & Refining Services
3,Tertiary (Work Phase),9,History,Past,Red-Purple,"Oil, Gas & Consumable Fuels",Crude Petroleum Exploration & Extraction,Natural Gas Field Production,Petroleum Refining & Storage,Pipeline Transit Operations
3,Tertiary (Work Phase),9,History,Past,Red-Purple,Coal & Consumable Energy,Thermal Coal Mining (Power Generation),Metallurgical Coal Mining (Steel Production),Coal Processing & Washing Facilities,Solid Fuel Logistics & Wholesale Supply
3,Tertiary (Work Phase),10,Geography,Present-Past,Blue-Teal,Transportation Infrastructure,Airport Operations & Management,Marine Port & Harbor Authorities,Toll Roads & Highway Systems,Rail Infrastructure & Terminal Hubs
3,Tertiary (Work Phase),10,Geography,Present-Past,Blue-Teal,Air Freight & Logistics,Air Cargo Carrier Operations,Express Courier & Parcel Delivery Logistics,Freight Forwarding & Customs Brokerage,Supply Chain Warehousing & Distribution Hubs
3,Tertiary (Work Phase),10,Geography,Present-Past,Blue-Teal,Marine Transportation,Deep-Sea Container Shipping,Liquid Bulk & Oil Tanker Operations,Dry Bulk Cargo Fleet Transit,Intercoastal & Inland Waterway Shipping
3,Tertiary (Work Phase),10,Geography,Present-Past,Blue-Teal,Ground Transportation,Long-Haul Freight Trucking,Intermodal Rail Freight Operations,Regional Less-Than-Truckload (LTL) Logistics,Commercial Fleet Leasing & Asset Management
3,Tertiary (Work Phase),11,Architecture,Present-Future,Yellow-Orange,Construction & Engineering,Civil & Heavy Infrastructure Engineering,Commercial & Industrial Construction,Residential Project Development,Architectural Engineering & Building Information Modeling (BIM)
3,Tertiary (Work Phase),11,Architecture,Present-Future,Yellow-Orange,Building Products,Structural Glass & Window Manufacturing,Commercial Doors & Architectural Hardware Production,"Insulation, Drywall & Interior Dry-Linings",Prefabricated Structural Concrete & Framing Modules
3,Tertiary (Work Phase),11,Architecture,Present-Future,Yellow-Orange,Automobile Components,Powertrain & Drivetrain Manufacturing,Automotive Electronic Systems & Safety Sensors,Wheels, Tires & Braking Mechanism Assembly,Interior Seating & Cabin Comfort Systems
3,Tertiary (Work Phase),11,Architecture,Present-Future,Yellow-Orange,Automobiles,Internal Combustion Engine (ICE) Vehicle Assembly,Electric Vehicle (EV) Engineering & Battery Integration,Commercial Fleet Vehicle & Truck Manufacturing,Autonomous Vehicle Systems Architecture
3,Tertiary (Work Phase),12,Ecology,Future,Green-Lime,Independent Power & Renewable Electricity,Solar Energy Generation,Wind Farm Operations,Hydroelectric & Geothermal Power,Biomass & Renewable Thermal Systems
3,Tertiary (Work Phase),12,Ecology,Future,Green-Lime,Water Utilities,Raw Water Sourcing & Reservoir Management,Municipal Water Purification & Desalination,Wastewater Collection & Biological Treatment,Aquifer Recharge & Ecological Grid Distribution
3,Tertiary (Work Phase),12,Ecology,Future,Green-Lime,Chemicals,Bio-Based Plastics & Compostable Polymers,Eco-Friendly Agricultural Nutrients & Organic Fertilizers,Specialty Green Industrial Gases (Hydrogen, Clean Carbon),Non-Toxic Bio-Chemical Solvents & Cleaners
3,Tertiary (Work Phase),12,Ecology,Future,Green-Lime,Environmental Engineering & Remediation,Industrial Hazardous Waste Treatment & Stabilization,Brownfield & Polluted Soil Bioremediation,Closed-Loop Recycling & Material Recovery Facilities,Ecological Impact Assessment & Habitat Restoration Consulting
4,Quaternary (Meta Phase),13,Philosophy,Past,Deep Crimson,Professional Services,Executive Leadership Strategy & Management Consulting,Organizational Behavioral Psychology & Culture Architecture,Human Capital Optimization & Workforce Planning,Operational Efficiency & Corporate Restructuring Advisory
4,Quaternary (Meta Phase),13,Philosophy,Past,Deep Crimson,Diversified Consumer Services,Higher Education Academic Curriculum Design,Professional Career & Vocational Development Training,Strategic Financial Literacy & Consumer Advisory Services,Specialized Lifelong Learning Platforms & Continuing Education
4,Quaternary (Meta Phase),13,Philosophy,Past,Deep Crimson,Research & Development Services,Applied Pure Mathematics & Theoretical Modeling Systems,Industrial Innovation Incubators & Think-Tank Management,Proprietary Technology Concept Prototyping,Interdisciplinary Research Grants Administration
4,Quaternary (Meta Phase),13,Philosophy,Past,Deep Crimson,Ethics & Compliance Advisory,Corporate Social Responsibility (CSR) Framework Auditing,"Institutional Governance, Transparency, & Accountability Advisory",Regulatory Compliance Verification & Anti-Corruption Auditing,"Bioethical, AI, & Algorithmic Ethics Guardrail Design"
4,Quaternary (Meta Phase),14,Law & Governance,Present-Past,Deep Indigo,Insurance,Actuarial Risk Underwriting & Premium Calculations,Commercial Property & Liability Indemnity Structures,"Life, Health, & Long-Term Care Statutory Underwriting",Reinsurance Market Capital Allocation & Risk Transfers
4,Quaternary (Meta Phase),14,Law & Governance,Present-Past,Deep Indigo,Airlines,National & Civil Aviation Regulatory Compliance Operations,Sovereign Airspace Route Allocations & Air Traffic Rights,International Maritime Border Passenger Security Clearances,Commercial Fleet Safety Protocols & Maintenance Auditing
4,Quaternary (Meta Phase),14,Law & Governance,Present-Past,Deep Indigo,Government Contracting & Civil Services,Large-Scale Public Procurement & Tender Management,Civic Municipal Operations & Public Safety Logistics,Defense Acquisition Programs & Strategic Sovereign Contracts,Bureaucratic Document Registry & Public Archive Administration
4,Quaternary (Meta Phase),14,Law & Governance,Present-Past,Deep Indigo,Legal Infrastructure Services,"Corporate Law Contracts, Mergers, & Acquisitions Registries",Statutory Intellectual Property & Patent Protection Frameworks,Alternative Dispute Resolution (ADR) & Arbitration Arbitrage,Judiciary Court Administration & Digital Legal Record Systems
4,Quaternary (Meta Phase),15,Economics,Present-Future,Gold-Ochre,Banking,Central Bank Reserve Interventions & Fractional Lending Math,Commercial Corporate Debt Capital Market Origination,Retail Consumer Capital Accounts & Liquidity Management,International Trade Finance & Letter of Credit Underwriting
4,Quaternary (Meta Phase),15,Economics,Present-Future,Gold-Ochre,Multiline Retail,Global Supply Chain Value Capture Optimization,Hypermarket Inventory Turn Allocation Algorithms,Wholesale Bulk Volume Pricing Distribution Models,Regional Distribution Center Inventory Logistics
4,Quaternary (Meta Phase),15,Economics,Present-Future,Gold-Ochre,Specialty Retail,Target Market Segment Consumer Demand Analytics,Boutique Franchise Retail Asset Management,Direct-to-Consumer Niche Apparel Retail Operations,High-Value Automotive & Specialty Equipment Brokerage
4,Quaternary (Meta Phase),15,Economics,Present-Future,Gold-Ochre,Distributors,Multi-Tier Logistics Wholesale Distribution Networks,Consumer Goods Middleman Fleet Allocation Systems,Inter-Continental Finished Product Import-Export Clearances,Retail Merchant Inventory Consignment Management
4,Quaternary (Meta Phase),16,Systemics,Future,Deep Forest,Semiconductors & Semiconductor Equipment,Nanometer Microchip Silicon Architecture Design,Extreme Ultraviolet (EUV) Photolithography Laser Systems,Automated Wafer Fabrication Loop Optimization,Global Semiconductor Supply Chain Lithography Assemblies
